Year ,Total Revenue, stores,store size , employees
1984,433,31,77,4000
1985,701,50,79,5400
1986,1001,60,80,6600
1987,1454,75,82,9100
1988,2000,96,86,13000
1989,2758,118,88,17500
1990,3815,145,92,21500
1991,5136,174,95,28000
1992,7148,214,98,38900
1993,9239,264,100,50600
1994,12477,340,103,67300
